,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,Hong Jiang,An efficient SSSP algorithm on time-evolving graphs with prediction of computation results,CommonGraph: Graph Analytics on Evolving Data,Arlington,32.7355816,-97.1071186,Tarrant County,Arlington,Texas,United States
1,Lei Xie,StreamVoice+: Evolving into End-to-end Streaming Zero-shot Voice Conversion,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Northwestern Polytechnical University,34.2469224,108.91062353292654,,Beilin District,Shaanxi,China
2,Mahbod Afarin,Core Graph: Exploiting edge centrality to speedup the evaluation of iterative graph queries,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
3,Mladjan Jovanovic,Trends and challenges of real-time learning in large language models: A critical review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,"Singidunum University, Belgrade, Serbia",44.782185850000005,20.47879052135909,City of Belgrade,Belgrade,Central Serbia,Serbia
4,Hsuan-Tien Lin,MAX: Masked Autoencoder for X-ray Fluorescence in Geological Investigation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Information Engineering,48.78958425,2.3637046629341003,Val-de-Marne,,Ile-de-France,France
5,Wael Jaafar,XLM for Autonomous Driving Systems: A Comprehensive Review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,École de technologie supérieure (ÉTS),45.49451545,-73.5628554929944,Urban agglomeration of Montreal,Montreal,Quebec,Canada
6,Noura Baccar,XLM for Autonomous Driving Systems: A Comprehensive Review,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,MedTech university,36.84571885,10.269384568391796,,Tunis,Tunis,Tunisia
7,Okba Kazar,Generative artificial intelligence in education: Advancing adaptive and personalized learning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Sharjah,25.2311534,54.21900831355923,,,Sharjah Emirate,United Arab Emirates
8,Mouna KACIMI,Exploring Large Language Models for Product Attribute Value Identification,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Free University of Bozen-Bolzano,46.498298,11.350101796184862,South Tyrol,Bolzano - Bozen,Trentino – Alto Adige/Südtirol,Italy
9,Ran Yi,SaRA: High-Efficient Diffusion Model Fine-tuning with Progressive Sparse Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
10,Yufei Li,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
11,David Cox, Trans-LoRA: Towards Data-Free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,IBM Research,37.21134775,-121.80832462522726,Santa Clara County,San Jose,California,United States
12,Zihan Wang,Let the Expert Stick to His Last: Expert-Specialized Fine-Tuning for Sparse Architectural Large Language Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Northwestern University,42.0557157,-87.67529454739416,Cook County,Evanston,Illinois,United States
13,Robert Litschko,Exploring Large Language Models for Product Attribute Value Identification,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,LMU Munich,48.15512995,11.582856213621726,,Munich,Bavaria,Germany
14,Yike  Guo,NoRA: Nested Low-Rank Adaptation for Efficient Fine-Tuning Large Models,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,The Hong Kong University of Science,22.42223395,114.21445372377877,,Sha Tin District,Hong Kong,China
15,Yabiao Wang,SaRA: High-Efficient Diffusion Model Fine-tuning with Progressive Sparse Low-Rank Adaptation,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
16,Zexin Li,: On-Device Real-Time Deep Reinforcement Learning for Autonomous Robotics,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
17,Chao Gao,Mega evolving graph accelerator,CommonGraph: Graph Analytics on Evolving Data,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
18,Soumya Ghosh,: towards data-free Transferable Parameter Efficient Finetuning,Parameter-Efficient Fine-Tuning for Large Models: A Comprehensive Survey,IBM Research,37.21134775,-121.80832462522726,Santa Clara County,San Jose,California,United States
